% time	cellId	IMSI	RNTI	mcs	size	resPscch	rbLen	rbStart	iTrp	hopping	groupDstId	correct
2087	0	4	10	16	193	132	5	39	0	0	255	1
2087	0	4	11	16	193	146	5	7	0	0	255	1
2087	0	5	6	16	193	104	5	41	0	0	255	1
2087	0	5	10	16	193	132	5	39	0	0	255	1
2087	0	5	11	16	193	146	5	7	0	0	255	1
2087	0	7	6	16	193	104	5	41	0	0	255	1
2087	0	7	10	16	193	132	5	39	0	0	255	1
2087	0	7	11	16	193	146	5	7	0	0	255	1
2087	0	8	6	16	193	104	5	41	0	0	255	1
2087	0	8	10	16	193	132	5	39	0	0	255	1
2087	0	8	11	16	193	146	5	7	0	0	255	1
2087	0	9	10	16	193	132	5	39	0	0	255	1
2087	0	9	6	16	193	104	5	41	0	0	255	1
2087	0	9	11	16	193	146	5	7	0	0	255	1
2161	0	1	3	16	193	97	5	17	0	0	255	1
2161	0	1	4	16	193	29	5	37	0	0	255	1
2161	0	1	10	16	193	113	5	21	0	0	255	1
2161	0	2	3	16	193	97	5	17	0	0	255	1
2161	0	2	4	16	193	29	5	37	0	0	255	1
2161	0	2	10	16	193	113	5	21	0	0	255	1
2161	0	5	4	16	193	29	5	37	0	0	255	1
2161	0	5	3	16	193	97	5	17	0	0	255	1
2161	0	5	10	16	193	113	5	21	0	0	255	1
2161	0	6	4	16	193	29	5	37	0	0	255	1
2161	0	6	3	16	193	97	5	17	0	0	255	1
2161	0	6	10	16	193	113	5	21	0	0	255	1
2161	0	7	4	16	193	29	5	37	0	0	255	1
2161	0	7	10	16	193	113	5	21	0	0	255	1
2161	0	7	3	16	193	97	5	17	0	0	255	1
2161	0	8	10	16	193	113	5	21	0	0	255	1
2161	0	8	4	16	193	29	5	37	0	0	255	1
2161	0	8	3	16	193	97	5	17	0	0	255	1
2161	0	9	10	16	193	113	5	21	0	0	255	1
2161	0	9	4	16	193	29	5	37	0	0	255	1
2161	0	9	3	16	193	97	5	17	0	0	255	1
2161	0	11	4	16	193	29	5	37	0	0	255	1
2161	0	11	3	16	193	97	5	17	0	0	255	1
2161	0	11	10	16	193	113	5	21	0	0	255	1
2162	0	1	2	16	193	10	5	11	0	0	255	1
2162	0	1	6	16	193	79	5	33	0	0	255	1
2162	0	1	10	16	193	113	5	21	0	0	255	1
2162	0	3	2	16	193	10	5	11	0	0	255	1
2162	0	3	6	16	193	79	5	33	0	0	255	1
2162	0	3	10	16	193	113	5	21	0	0	255	1
2162	0	4	2	16	193	10	5	11	0	0	255	1
2162	0	4	6	16	193	79	5	33	0	0	255	1
2162	0	4	10	16	193	113	5	21	0	0	255	1
2162	0	5	6	16	193	79	5	33	0	0	255	1
2162	0	5	2	16	193	10	5	11	0	0	255	1
2162	0	5	10	16	193	113	5	21	0	0	255	1
2162	0	7	6	16	193	79	5	33	0	0	255	1
2162	0	7	10	16	193	113	5	21	0	0	255	1
2162	0	7	2	16	193	10	5	11	0	0	255	1
2162	0	8	6	16	193	79	5	33	0	0	255	1
2162	0	8	10	16	193	113	5	21	0	0	255	1
2162	0	8	2	16	193	10	5	11	0	0	255	1
2162	0	9	10	16	193	113	5	21	0	0	255	1
2162	0	9	6	16	193	79	5	33	0	0	255	1
2162	0	9	2	16	193	10	5	11	0	0	255	1
2162	0	11	6	16	193	79	5	33	0	0	255	1
2162	0	11	2	16	193	10	5	11	0	0	255	1
2162	0	11	10	16	193	113	5	21	0	0	255	1
2163	0	1	5	16	193	11	5	1	0	0	255	1
2163	0	1	7	16	193	139	5	45	0	0	255	1
2163	0	1	8	16	193	164	5	8	0	0	255	1
2163	0	1	11	16	193	67	5	27	0	0	255	1
2163	0	2	5	16	193	11	5	1	0	0	255	1
2163	0	2	7	16	193	139	5	45	0	0	255	1
2163	0	2	8	16	193	164	5	8	0	0	255	1
2163	0	2	11	16	193	67	5	27	0	0	255	1
2163	0	3	5	16	193	11	5	1	0	0	255	1
2163	0	3	7	16	193	139	5	45	0	0	255	1
2163	0	3	8	16	193	164	5	8	0	0	255	1
2163	0	3	11	16	193	67	5	27	0	0	255	1
2163	0	4	5	16	193	11	5	1	0	0	255	1
2163	0	4	7	16	193	139	5	45	0	0	255	1
2163	0	4	8	16	193	164	5	8	0	0	255	1
2163	0	4	11	16	193	67	5	27	0	0	255	1
2163	0	6	5	16	193	11	5	1	0	0	255	1
2163	0	6	7	16	193	139	5	45	0	0	255	1
2163	0	6	8	16	193	164	5	8	0	0	255	1
2163	0	6	11	16	193	67	5	27	0	0	255	1
2163	0	9	8	16	193	164	5	8	0	0	255	1
2163	0	9	7	16	193	139	5	45	0	0	255	1
2163	0	9	5	16	193	11	5	1	0	0	255	1
2163	0	9	11	16	193	67	5	27	0	0	255	1
2163	0	10	8	16	193	164	5	8	0	0	255	1
2163	0	10	7	16	193	139	5	45	0	0	255	1
2163	0	10	5	16	193	11	5	1	0	0	255	1
2163	0	10	11	16	193	67	5	27	0	0	255	1
2164	0	1	2	16	193	10	5	11	0	0	255	1
2164	0	1	8	16	193	164	5	8	0	0	255	1
2164	0	1	9	16	193	102	5	19	0	0	255	1
2164	0	3	2	16	193	10	5	11	0	0	255	1
2164	0	3	8	16	193	164	5	8	0	0	255	1
2164	0	3	9	16	193	102	5	19	0	0	255	1
2164	0	4	2	16	193	10	5	11	0	0	255	1
2164	0	4	8	16	193	164	5	8	0	0	255	1
2164	0	4	9	16	193	102	5	19	0	0	255	1
2164	0	5	2	16	193	10	5	11	0	0	255	1
2164	0	5	8	16	193	164	5	8	0	0	255	1
2164	0	5	9	16	193	102	5	19	0	0	255	1
2164	0	6	8	16	193	164	5	8	0	0	255	1
2164	0	6	9	16	193	102	5	19	0	0	255	1
2164	0	6	2	16	193	10	5	11	0	0	255	1
2164	0	7	8	16	193	164	5	8	0	0	255	1
2164	0	7	9	16	193	102	5	19	0	0	255	1
2164	0	7	2	16	193	10	5	11	0	0	255	1
2164	0	10	9	16	193	102	5	19	0	0	255	1
2164	0	10	8	16	193	164	5	8	0	0	255	1
2164	0	10	2	16	193	10	5	11	0	0	255	1
2164	0	11	8	16	193	164	5	8	0	0	255	1
2164	0	11	9	16	193	102	5	19	0	0	255	1
2164	0	11	2	16	193	10	5	11	0	0	255	1
2165	0	1	4	16	193	29	5	37	0	0	255	1
2165	0	1	5	16	193	11	5	1	0	0	255	1
2165	0	1	11	16	193	67	5	27	0	0	255	1
2165	0	2	4	16	193	29	5	37	0	0	255	1
2165	0	2	5	16	193	11	5	1	0	0	255	1
2165	0	2	11	16	193	67	5	27	0	0	255	1
2165	0	3	4	16	193	29	5	37	0	0	255	1
2165	0	3	5	16	193	11	5	1	0	0	255	1
2165	0	3	11	16	193	67	5	27	0	0	255	1
2165	0	6	5	16	193	11	5	1	0	0	255	1
2165	0	6	4	16	193	29	5	37	0	0	255	1
2165	0	6	11	16	193	67	5	27	0	0	255	1
2165	0	7	5	16	193	11	5	1	0	0	255	1
2165	0	7	4	16	193	29	5	37	0	0	255	1
2165	0	7	11	16	193	67	5	27	0	0	255	1
2165	0	8	5	16	193	11	5	1	0	0	255	1
2165	0	8	4	16	193	29	5	37	0	0	255	1
2165	0	8	11	16	193	67	5	27	0	0	255	1
2165	0	9	5	16	193	11	5	1	0	0	255	1
2165	0	9	4	16	193	29	5	37	0	0	255	1
2165	0	9	11	16	193	67	5	27	0	0	255	1
2165	0	10	5	16	193	11	5	1	0	0	255	1
2165	0	10	4	16	193	29	5	37	0	0	255	1
2165	0	10	11	16	193	67	5	27	0	0	255	1
2166	0	2	1	16	193	167	5	0	0	0	255	1
2166	0	2	9	16	193	102	5	19	0	0	255	1
2166	0	3	1	16	193	167	5	0	0	0	255	1
2166	0	3	9	16	193	102	5	19	0	0	255	1
2166	0	4	1	16	193	167	5	0	0	0	255	1
