% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2112	0	11	1	0	16	193	3	0	1	12.6725
2112	0	11	2	0	16	193	3	0	1	12.6974
2128	0	3	1	0	16	193	0	1	1	3.44867e+08
2128	0	3	2	0	16	193	0	1	1	7.15411e+09
2128	0	4	1	0	16	193	0	1	1	5.8521e+07
2128	0	4	2	0	16	193	0	1	1	3.44867e+08
2128	0	5	1	0	16	193	0	1	1	1.66245e+07
2128	0	5	2	0	16	193	0	1	1	5.8521e+07
2128	0	6	1	0	16	193	0	1	1	6.26324e+06
2128	0	6	2	0	16	193	0	1	1	1.66245e+07
2128	0	7	1	0	16	193	0	1	1	2.82103e+06
2128	0	7	2	0	16	193	0	1	1	6.26324e+06
2128	0	8	1	0	16	193	0	1	1	1.43727e+06
2128	0	8	2	0	16	193	0	1	1	2.82103e+06
2128	0	9	1	0	16	193	0	1	1	801389
2128	0	9	2	0	16	193	0	1	1	1.43727e+06
2128	0	10	1	0	16	193	0	1	1	478706
2128	0	10	2	0	16	193	0	1	1	801389
2128	0	11	1	0	16	193	0	1	1	12.6725
2128	0	11	2	0	16	193	0	1	1	12.6974
2136	0	3	1	0	16	193	1	0	1	3.44867e+08
2136	0	3	2	0	16	193	1	0	1	7.15411e+09
2136	0	4	1	0	16	193	1	0	1	5.8521e+07
2136	0	4	2	0	16	193	1	0	1	3.44867e+08
2136	0	5	1	0	16	193	1	0	1	1.66245e+07
2136	0	5	2	0	16	193	1	0	1	5.8521e+07
2136	0	6	1	0	16	193	1	0	1	6.26324e+06
2136	0	6	2	0	16	193	1	0	1	1.66245e+07
2136	0	7	1	0	16	193	1	0	1	2.82103e+06
2136	0	7	2	0	16	193	1	0	1	6.26324e+06
2136	0	8	1	0	16	193	1	0	1	1.43727e+06
2136	0	8	2	0	16	193	1	0	1	2.82103e+06
2136	0	9	1	0	16	193	1	0	1	801389
2136	0	9	2	0	16	193	1	0	1	1.43727e+06
2136	0	10	1	0	16	193	1	0	1	478706
2136	0	10	2	0	16	193	1	0	1	801389
2136	0	11	1	0	16	193	1	0	1	12.6725
2136	0	11	2	0	16	193	1	0	1	12.6974
2144	0	3	1	0	16	193	2	0	1	3.44867e+08
2144	0	3	2	0	16	193	2	0	1	7.15411e+09
2144	0	4	1	0	16	193	2	0	1	5.8521e+07
2144	0	4	2	0	16	193	2	0	1	3.44867e+08
2144	0	5	1	0	16	193	2	0	1	1.66245e+07
2144	0	5	2	0	16	193	2	0	1	5.8521e+07
2144	0	6	1	0	16	193	2	0	1	6.26324e+06
2144	0	6	2	0	16	193	2	0	1	1.66245e+07
2144	0	7	1	0	16	193	2	0	1	2.82103e+06
2144	0	7	2	0	16	193	2	0	1	6.26324e+06
2144	0	8	1	0	16	193	2	0	1	1.43727e+06
