Node,Time,Name,Action,X,Y
1,2,0,Received,10,10
1,2,0,Broadcast,10,10
46,2.04893,0,Received,129.988,8.10589
47,2.04893,0,Received,91.2738,5.67371
2,2.04893,0,Received,11.6762,8.54957
3,2.04893,0,Received,81.1807,3.25044
4,2.04893,0,Received,58.4405,2.58953
6,2.04893,0,Received,2.84355,16.5248
8,2.04893,0,Received,14.3473,1.59145
9,2.04893,0,Received,12.0786,7.16432
11,2.04893,0,Received,101.523,17.8762
12,2.04893,0,Received,116.446,16.5113
13,2.04893,0,Received,79.2906,18.3927
14,2.04893,0,Received,15.698,11.2475
15,2.04893,0,Received,100.975,4.61449
17,2.04893,0,Received,46.3652,15.5087
18,2.04893,0,Received,75.3277,0.964929
19,2.04893,0,Received,103.931,18.0779
20,2.04893,0,Received,54.6602,9.99965
22,2.04893,0,Received,84.2241,10.8198
23,2.04893,0,Received,108.003,7.36006
25,2.04893,0,Received,60.9361,16.9199
26,2.04893,0,Received,116.394,14.1242
27,2.04893,0,Received,24.1187,13.1982
28,2.04893,0,Received,30.0909,3.07553
33,2.04893,0,Received,31.9816,7.88655
34,2.04893,0,Received,42.822,10.5595
35,2.04893,0,Received,68.3918,4.99367
36,2.04893,0,Received,128.635,13.8604
37,2.04893,0,Received,61.6951,12.4544
38,2.04893,0,Received,35.949,3.22644
39,2.04893,0,Received,65.3807,10.8363
40,2.04893,0,Received,35.3198,19.9382
41,2.04893,0,Received,3.44064,4.11968
42,2.04893,0,Received,66.3375,8.10327
43,2.04893,0,Received,22.9903,15.5013
45,2.05693,0,Received,132.653,7.64405
32,2.05693,0,Received,151.592,18.9621
44,2.05693,0,Received,156.466,18.7213
7,2.06493,0,Received,167.94,7.16773
10,2.06493,0,Received,161.805,11.3962
16,2.06493,0,Received,164.649,1.10001
24,2.06493,0,Received,166.195,13.7098
30,2.06493,0,Received,172.206,6.22714
2,2.07091,0,Broadcast,11.6982,8.54957
21,2.07293,0,Received,178.013,12.1135
33,2.07699,0,Broadcast,31.9816,7.88655
15,2.07833,0,Broadcast,100.975,4.61449
3,2.08183,0,Broadcast,81.1807,3.25044
32,2.08672,0,Broadcast,151.622,18.9621
46,2.08893,0,Duplicate,130.028,8.10589
47,2.08893,0,Duplicate,91.2738,5.67371
1,2.08893,0,Duplicate,10.4446,10
3,2.08893,0,Duplicate,81.1807,3.25044
4,2.08893,0,Duplicate,58.4805,2.58953
6,2.08893,0,Duplicate,2.88355,16.5248
8,2.08893,0,Duplicate,14.3873,1.59145
9,2.08893,0,Duplicate,12.0786,7.16432
11,2.08893,0,Duplicate,101.523,17.8762
12,2.08893,0,Duplicate,116.486,16.5113
13,2.08893,0,Duplicate,79.4906,18.3927
14,2.08893,0,Duplicate,15.738,11.2475
15,2.08893,0,Duplicate,100.975,4.61449
17,2.08893,0,Duplicate,46.3652,15.5087
18,2.08893,0,Duplicate,75.3677,0.964929
19,2.08893,0,Duplicate,104.131,18.0779
20,2.08893,0,Duplicate,54.7002,9.99965
22,2.08893,0,Duplicate,84.2641,10.8198
23,2.08893,0,Duplicate,108.003,7.36006
25,2.08893,0,Duplicate,61.1361,16.9199
26,2.08893,0,Duplicate,116.434,14.1242
27,2.08893,0,Duplicate,24.1187,13.1982
28,2.08893,0,Duplicate,30.1309,3.07553
33,2.08893,0,Duplicate,31.9816,7.88655
34,2.08893,0,Duplicate,42.862,10.5595
35,2.08893,0,Duplicate,68.3918,4.99367
36,2.08893,0,Duplicate,128.675,13.8604
37,2.08893,0,Duplicate,61.8951,12.4544
38,2.08893,0,Duplicate,35.989,3.22644
39,2.08893,0,Duplicate,65.3807,10.8363
