Node,Time,Name,Action,X,Y
1,2,0,Received,220,0
1,2,0,Broadcast,220,0
2,2.04893,0,Received,100,0
3,2.04893,0,Received,380.489,4
4,2.04893,0,Received,10.2446,16
5,2.04893,0,Received,340.489,4
6,2.04893,0,Received,260,12
7,2.04893,0,Received,200.489,0
8,2.04893,0,Received,80,0
9,2.04893,0,Received,180.489,4
10,2.04893,0,Received,370.245,0
11,2.04893,0,Received,300.489,8
12,2.04893,0,Received,320,8
13,2.04893,0,Received,60.4893,8
14,2.04893,0,Received,400,8
15,2.04893,0,Received,360.489,12
16,2.04893,0,Received,150.245,4
17,2.04893,0,Received,40.4893,12
18,2.04893,0,Received,0,8
19,2.04893,0,Received,20.4893,8
20,2.04893,0,Received,160,4
21,2.04893,0,Received,360.489,8
22,2.04893,0,Received,290.245,8
23,2.04893,0,Received,440.489,12
24,2.04893,0,Received,240,8
25,2.04893,0,Received,140.489,8
26,2.04893,0,Received,380,0
27,2.04893,0,Received,300.489,12
28,2.04893,0,Received,230.245,8
29,2.04893,0,Received,260.489,0
30,2.04893,0,Received,0,16
31,2.04893,0,Received,340.489,0
32,2.04893,0,Received,60,4
33,2.04893,0,Received,360.489,12
34,2.04893,0,Received,140.245,8
35,2.04893,0,Received,400.489,8
36,2.04893,0,Received,400,12
37,2.04893,0,Received,140.489,0
38,2.04893,0,Received,220,4
39,2.04893,0,Received,480.489,8
40,2.04893,0,Received,490.245,8
41,2.04893,0,Received,140.489,0
42,2.04893,0,Received,140,0
43,2.04893,0,Received,100.489,0
44,2.04893,0,Received,20,0
45,2.04893,0,Received,40.4893,0
46,2.04893,0,Received,490.245,12
47,2.04893,0,Received,400.489,0
48,2.04893,0,Received,60,8
49,2.04893,0,Received,220.489,0
50,2.04893,0,Received,340,12
51,2.04893,0,Received,40.4893,12
52,2.04893,0,Received,210.245,8
53,2.04893,0,Received,40.4893,0
54,2.04893,0,Received,300,0
55,2.04893,0,Received,40.4893,0
56,2.04893,0,Received,160,4
57,2.04893,0,Received,20.4893,4
58,2.04893,0,Received,450.245,12
59,2.04893,0,Received,60.4893,12
60,2.04893,0,Received,150,8
61,2.04893,0,Received,320.489,4
62,2.04893,0,Received,70,4
63,2.04893,0,Received,300.489,4
64,2.04893,0,Received,470.245,8
65,2.04893,0,Received,300.489,12
66,2.04893,0,Received,460,0
67,2.04893,0,Received,80.4893,4
68,2.04893,0,Received,0,12
69,2.04893,0,Received,500.489,8
70,2.04893,0,Received,90.2446,12
71,2.04893,0,Received,440.489,4
72,2.04893,0,Received,0,4
73,2.04893,0,Received,480.489,0
74,2.04893,0,Received,400,4
75,2.04893,0,Received,400.489,4
76,2.04893,0,Received,250.245,4
77,2.04893,0,Received,90.4893,4
78,2.04893,0,Received,0,12
79,2.04893,0,Received,100.489,12
80,2.04893,0,Received,130,8
81,2.04893,0,Received,150.489,8
82,2.04893,0,Received,170.245,0
83,2.04893,0,Received,150.489,8
84,2.04893,0,Received,300,8
85,2.04893,0,Received,280.489,8
86,2.04893,0,Received,380,0
87,2.04893,0,Received,260.489,4
88,2.04893,0,Received,190.245,4
89,2.04893,0,Received,320.489,8
90,2.04893,0,Received,180,8
91,2.04893,0,Received,300.489,0
92,2.04893,0,Received,20,12
93,2.04893,0,Received,360.489,4
94,2.04893,0,Received,130.245,4
95,2.04893,0,Received,20.4893,4
96,2.04893,0,Received,0,12
97,2.04893,0,Received,200.489,4
98,2.04893,0,Received,420,0
99,2.04893,0,Received,420.489,12
100,2.04893,0,Received,230.245,0
101,2.04893,0,Received,60.4893,12
102,2.04893,0,Received,180,12
103,2.04893,0,Received,280.489,4
104,2.04893,0,Received,240,4
105,2.04893,0,Received,120.489,0
106,2.04893,0,Received,350.245,12
107,2.04893,0,Received,220.489,4
108,2.04893,0,Received,240,8
109,2.04893,0,Received,360.489,12
110,2.04893,0,Received,130,8
111,2.04893,0,Received,160.489,12
112,2.04893,0,Received,50.2446,0
113,2.04893,0,Received,440.489,4
114,2.04893,0,Received,200,4
115,2.04893,0,Received,260.489,4
116,2.04893,0,Received,200,8
117,2.04893,0,Received,20.4893,16
118,2.04893,0,Received,470.245,12
119,2.04893,0,Received,20.4893,4
120,2.04893,0,Received,480,0
121,2.04893,0,Received,40.4893,12
122,2.04893,0,Received,340,8
123,2.04893,0,Received,380.489,4
124,2.04893,0,Received,430.245,12
125,2.04893,0,Received,460.489,4
126,2.04893,0,Received,420,8
127,2.04893,0,Received,400.489,4
128,2.04893,0,Received,360,8
129,2.04893,0,Received,260.489,0
130,2.04893,0,Received,70.2446,12
131,2.04893,0,Received,300.489,12
132,2.04893,0,Received,260,4
133,2.04893,0,Received,100.489,8
134,2.04893,0,Received,220,8
135,2.04893,0,Received,420.489,12
136,2.04893,0,Received,250.245,12
137,2.04893,0,Received,300.489,4
138,2.04893,0,Received,320,8
139,2.04893,0,Received,500.489,12
140,2.04893,0,Received,280,0
141,2.04893,0,Received,80.4893,12
142,2.04893,0,Received,430.245,0
143,2.04893,0,Received,20.4893,4
144,2.04893,0,Received,130,8
145,2.04893,0,Received,360.489,4
146,2.04893,0,Received,260,12
147,2.04893,0,Received,40.4893,12
148,2.04893,0,Received,450.245,0
149,2.04893,0,Received,240.489,8
150,2.04893,0,Received,360,4
28,2.09968,0,Broadcast,230.498,8
84,2.10119,0,Broadcast,300,8
91,2.10311,0,Broadcast,301.031,0
31,2.10403,0,Broadcast,341.04,0
53,2.10517,0,Broadcast,41.0517,0
136,2.10594,0,Broadcast,250.53,12
11,2.10625,0,Broadcast,301.062,8
73,2.10719,0,Broadcast,481.072,0
71,2.11045,0,Broadcast,441.104,4
76,2.11155,0,Broadcast,250.558,4
139,2.11239,0,Broadcast,501.124,12
27,2.11253,0,Broadcast,301.125,12
150,2.11456,0,Broadcast,360,4
148,2.11493,0,Broadcast,450.575,0
38,2.11675,0,Broadcast,220,4
55,2.11718,0,Broadcast,41.1718,0
138,2.12058,0,Broadcast,320,8
35,2.12136,0,Broadcast,401.214,8
50,2.12361,0,Broadcast,340,12
142,2.12595,0,Broadcast,430.63,0
36,2.12684,0,Broadcast,400,12
122,2.12785,0,Broadcast,340,8
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
1,2.12893,0,Duplicate,221.289,0
2,2.12893,0,Duplicate,100,0
2,2.12893,0,Duplicate,100,0
2,2.12893,0,Duplicate,100,0
2,2.12893,0,Duplicate,100,0
2,2.12893,0,Duplicate,100,0
2,2.12893,0,Duplicate,100,0
2,2.12893,0,Duplicate,100,0
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Suppressed,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
3,2.12893,0,Duplicate,381.289,4
4,2.12893,0,Duplicate,10.6446,16
4,2.12893,0,Duplicate,10.6446,16
4,2.12893,0,Duplicate,10.6446,16
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Suppressed,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
5,2.12893,0,Duplicate,341.289,4
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Suppressed,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
6,2.12893,0,Duplicate,260,12
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Suppressed,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
7,2.12893,0,Duplicate,201.289,0
8,2.12893,0,Duplicate,80,0
8,2.12893,0,Duplicate,80,0
8,2.12893,0,Duplicate,80,0
8,2.12893,0,Duplicate,80,0
8,2.12893,0,Duplicate,80,0
8,2.12893,0,Duplicate,80,0
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
9,2.12893,0,Duplicate,181.289,4
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Suppressed,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
10,2.12893,0,Duplicate,370.645,0
12,2.12893,0,Duplicate,320,8
12,2.12893,0,Suppressed,320,8
12,2.12893,0,Duplicate,320,8
12,2.12893,0,Duplicate,320,8
